timestamp,open,high,low,close,volume,open_interest,contract_month,days_to_expiry
2025-01-15 09:15:00,19540.47,19571.46,19535.13,19551.98,651646,11139100,2025-01,15
2025-01-15 09:20:00,19554.54,19570.24,19544.02,19551.88,407646,11957919,2025-01,15
2025-01-15 09:25:00,19550.06,19568.36,19541.85,19560.55,712842,11632038,2025-01,15
2025-01-15 09:30:00,19564.88,19598.36,19564.88,19597.43,1209020,10826318,2025-01,15
2025-01-15 09:35:00,19591.8,19608.76,19572.88,19591.26,445641,10474039,2025-01,15
2025-01-15 09:40:00,19586.77,19594.16,19574.43,19583.51,430738,10500016,2025-01,15
2025-01-15 09:45:00,19582.31,19613.26,19582.31,19612.09,1131356,11313674,2025-01,15
2025-01-15 09:50:00,19614.35,19650.48,19614.35,19629.15,703202,11149889,2025-01,15
2025-01-15 09:55:00,19630.7,19645.22,19620.23,19621.52,522445,12466055,2025-01,15
2025-01-15 10:00:00,19627.16,19641.24,19627.16,19633.79,547616,11389958,2025-01,15
2025-01-15 10:05:00,19627.45,19639.52,19606.77,19618.63,488741,11130236,2025-01,15
2025-01-15 10:10:00,19623.68,19625.04,19612.29,19616.63,477198,11610565,2025-01,15
2025-01-15 10:15:00,19613.37,19630.98,19608.9,19619.31,371455,11551172,2025-01,15
2025-01-15 10:20:00,19613.87,19615.08,19578.86,19582.22,1080717,11172570,2025-01,15
2025-01-15 10:25:00,19579.25,19580.37,19510.24,19546.38,1044520,11518862,2025-01,15
2025-01-15 10:30:00,19553.18,19558.07,19534.13,19540.52,520176,11354783,2025-01,15
2025-01-15 10:35:00,19542.78,19544.07,19512.97,19520.73,724349,11223235,2025-01,15
2025-01-15 10:40:00,19517.62,19540.2,19506.26,19525.45,402155,11216168,2025-01,15
2025-01-15 10:45:00,19527.48,19528.8,19509.65,19511.03,662483,11807284,2025-01,15
2025-01-15 10:50:00,19510.93,19512.32,19478.62,19485.94,894311,11141005,2025-01,15
2025-01-15 10:55:00,19482.36,19516.58,19482.36,19510.58,944618,10648497,2025-01,15
2025-01-15 11:00:00,19506.44,19511.82,19490.42,19505.34,357126,11422572,2025-01,15
2025-01-15 11:05:00,19507.82,19525.24,19507.82,19511.73,284419,11448100,2025-01,15
2025-01-15 11:10:00,19498.13,19499.38,19461.72,19480.81,885735,11094106,2025-01,15
2025-01-15 11:15:00,19479.18,19488.28,19470.64,19471.96,499728,12904032,2025-01,15
2025-01-15 11:20:00,19467.36,19496.9,19461.39,19471.69,303215,11934126,2025-01,15
2025-01-15 11:25:00,19473.16,19474.5,19437.39,19453.88,751664,11371558,2025-01,15
2025-01-15 11:30:00,19445.58,19459.44,19445.58,19456.37,420877,11078110,2025-01,15
2025-01-15 11:35:00,19455.87,19457.15,19442.83,19448.09,510311,10751980,2025-01,15
2025-01-15 11:40:00,19450.2,19451.48,19431.84,19443.13,373994,10818649,2025-01,15
2025-01-15 11:45:00,19439.66,19442.07,19427.2,19431.49,501767,11331471,2025-01,15
2025-01-15 11:50:00,19426.02,19467.31,19426.02,19463.72,1030687,11976624,2025-01,15
2025-01-15 11:55:00,19465.45,19487.34,19453.85,19468.44,253452,11993230,2025-01,15
2025-01-15 12:00:00,19463.37,19464.69,19443.59,19447.27,702128,11677210,2025-01,15
2025-01-15 12:05:00,19443.0,19462.52,19443.0,19459.33,612938,11896375,2025-01,15
2025-01-15 12:10:00,19457.23,19458.39,19433.22,19434.59,784652,11645690,2025-01,15
2025-01-15 12:15:00,19437.56,19450.81,19437.56,19445.44,346909,11833590,2025-01,15
2025-01-15 12:20:00,19440.37,19441.58,19387.49,19404.46,1103115,11466851,2025-01,15
2025-01-15 12:25:00,19408.49,19409.76,19372.34,19380.32,867301,11075552,2025-01,15
2025-01-15 12:30:00,19381.68,19388.2,19379.74,19384.48,346920,11465964,2025-01,15
2025-01-15 12:35:00,19385.26,19403.75,19381.46,19399.37,592699,11153484,2025-01,15
2025-01-15 12:40:00,19395.51,19405.38,19395.51,19398.86,331152,11679144,2025-01,15
2025-01-15 12:45:00,19400.03,19401.28,19384.52,19399.48,298504,10893661,2025-01,15
2025-01-15 12:50:00,19402.28,19405.4,19393.93,19394.83,375559,11505412,2025-01,15
2025-01-15 12:55:00,19394.76,19396.02,19367.01,19368.9,861284,12423052,2025-01,15
2025-01-15 13:00:00,19367.84,19385.3,19353.91,19357.3,560877,12664477,2025-01,15
2025-01-15 13:05:00,19355.02,19366.68,19325.38,19347.85,447710,12051903,2025-01,15
2025-01-15 13:10:00,19346.17,19373.9,19346.17,19367.62,704516,12211863,2025-01,15
2025-01-15 13:15:00,19364.42,19373.61,19364.42,19371.97,402503,10999163,2025-01,15
2025-01-15 13:20:00,19378.17,19379.53,19344.02,19344.93,999492,11168868,2025-01,15
2025-01-15 13:25:00,19339.75,19377.94,19339.75,19347.24,399396,11738957,2025-01,15
2025-01-15 13:30:00,19345.93,19349.52,19334.85,19341.42,417204,12638079,2025-01,15
2025-01-15 13:35:00,19342.31,19343.57,19316.72,19328.78,539458,12365868,2025-01,15
2025-01-15 13:40:00,19331.3,19351.0,19331.3,19340.65,515600,10934919,2025-01,15
2025-01-15 13:45:00,19339.65,19368.07,19339.65,19360.85,693464,11618387,2025-01,15
2025-01-15 13:50:00,19359.11,19376.1,19359.11,19374.01,658842,12009114,2025-01,15
2025-01-15 13:55:00,19378.47,19379.78,19360.89,19361.84,618218,12314761,2025-01,15
2025-01-15 14:00:00,19359.61,19360.92,19344.98,19355.99,385425,11364240,2025-01,15
2025-01-15 14:05:00,19356.6,19372.92,19339.57,19361.0,397262,11431958,2025-01,15
2025-01-15 14:10:00,19357.69,19383.08,19357.69,19378.56,668734,11660166,2025-01,15
2025-01-15 14:15:00,19373.96,19377.04,19363.65,19367.23,458724,10847160,2025-01,15
2025-01-15 14:20:00,19365.72,19376.88,19358.71,19365.65,332380,11446330,2025-01,15
2025-01-15 14:25:00,19359.64,19360.79,19331.1,19343.47,720879,11872275,2025-01,15
2025-01-15 14:30:00,19347.6,19348.84,19317.53,19325.53,781842,11298723,2025-01,15
2025-01-15 14:35:00,19325.18,19349.66,19325.18,19340.98,638805,12523440,2025-01,15
2025-01-15 14:40:00,19335.24,19375.48,19335.24,19363.39,906804,11794946,2025-01,15
2025-01-15 14:45:00,19364.69,19374.21,19348.54,19365.52,307133,10704218,2025-01,15
2025-01-15 14:50:00,19365.09,19390.14,19365.09,19385.81,771629,11179388,2025-01,15
2025-01-15 14:55:00,19383.52,19402.79,19381.29,19390.66,474134,10390500,2025-01,15
2025-01-15 15:00:00,19394.15,19395.41,19377.64,19378.59,620420,11399281,2025-01,15
2025-01-15 15:05:00,19377.17,19394.24,19369.38,19384.2,493483,10957469,2025-01,15
2025-01-15 15:10:00,19385.77,19414.83,19385.77,19413.4,1113045,11527279,2025-01,15
2025-01-15 15:15:00,19413.08,19414.28,19399.73,19410.06,332925,11375311,2025-01,15
2025-01-15 15:20:00,19405.43,19448.28,19405.43,19435.41,1173133,11730476,2025-01,15
2025-01-15 15:25:00,19445.2,19446.56,19367.11,19394.15,1830209,12315302,2025-01,15
2025-01-15 15:30:00,19391.17,19419.89,19391.17,19410.1,852857,12240854,2025-01,15
2025-01-16 09:15:00,19401.66,19433.43,19401.31,19405.07,383816,12548956,2025-01,14
2025-01-16 09:20:00,19402.95,19404.61,19375.21,19398.6,500936,11539081,2025-01,14
2025-01-16 09:25:00,19400.69,19420.69,19392.37,19403.58,377512,11428926,2025-01,14
2025-01-16 09:30:00,19402.26,19403.44,19356.07,19367.12,1403548,11156792,2025-01,14
2025-01-16 09:35:00,19368.56,19376.45,19363.33,19364.42,433382,11239193,2025-01,14
2025-01-16 09:40:00,19360.46,19380.92,19349.88,19369.01,500429,11845203,2025-01,14
2025-01-16 09:45:00,19371.42,19411.78,19371.42,19399.47,1063654,10844549,2025-01,14
2025-01-16 09:50:00,19392.53,19393.7,19382.06,19386.84,557336,11384675,2025-01,14
2025-01-16 09:55:00,19390.48,19391.73,19364.23,19374.47,685230,10863429,2025-01,14
2025-01-16 10:00:00,19373.27,19374.44,19343.86,19362.28,518557,11617585,2025-01,14
2025-01-16 10:05:00,19360.66,19397.9,19360.66,19378.09,705589,11005919,2025-01,14
2025-01-16 10:10:00,19379.89,19403.81,19374.96,19385.37,421226,10798877,2025-01,14
2025-01-16 10:15:00,19384.83,19386.05,19377.01,19377.81,496771,11527825,2025-01,14
2025-01-16 10:20:00,19379.64,19390.1,19379.64,19386.63,486087,10701321,2025-01,14
2025-01-16 10:25:00,19385.64,19398.34,19382.35,19387.87,299397,11749004,2025-01,14
