timestamp,open,high,low,close,volume
2025-01-15 09:15:00,19500.0,19529.75,19494.25,19510.69,651646
2025-01-15 09:20:00,19511.48,19525.87,19500.52,19507.95,407646
2025-01-15 09:25:00,19511.25,19528.36,19502.65,19520.95,712842
2025-01-15 09:30:00,19519.42,19551.51,19519.42,19551.04,1209020
2025-01-15 09:35:00,19547.81,19563.43,19528.45,19546.38,445641
2025-01-15 09:40:00,19545.98,19552.12,19533.22,19541.88,430738
2025-01-15 09:45:00,19543.08,19572.83,19543.08,19572.06,1131356
2025-01-15 09:50:00,19573.49,19608.37,19573.49,19587.46,703202
2025-01-15 09:55:00,19588.31,19601.53,19577.41,19578.27,522445
2025-01-15 10:00:00,19583.17,19595.91,19583.11,19588.91,547616
2025-01-15 10:05:00,19589.75,19600.66,19568.68,19580.16,488741
2025-01-15 10:10:00,19579.5,19579.5,19567.65,19571.54,477198
2025-01-15 10:15:00,19571.04,19587.35,19566.13,19576.11,371455
2025-01-15 10:20:00,19574.39,19574.39,19538.98,19541.94,1080717
2025-01-15 10:25:00,19542.56,19542.56,19473.17,19508.94,1044520
2025-01-15 10:30:00,19511.25,19514.85,19491.77,19497.73,520176
2025-01-15 10:35:00,19500.73,19500.73,19470.49,19477.82,724349
2025-01-15 10:40:00,19477.19,19498.54,19465.42,19484.2,402155
2025-01-15 10:45:00,19484.09,19484.09,19465.82,19466.76,662483
2025-01-15 10:50:00,19465.4,19465.4,19432.63,19439.49,894311
2025-01-15 10:55:00,19441.54,19474.51,19441.54,19468.93,944618
2025-01-15 11:00:00,19466.31,19470.46,19449.88,19464.39,357126
2025-01-15 11:05:00,19462.86,19478.9,19462.86,19465.85,284419
2025-01-15 11:10:00,19457.02,19457.02,19420.2,19438.87,885735
2025-01-15 11:15:00,19436.37,19444.16,19427.4,19428.28,499728
2025-01-15 11:20:00,19427.03,19455.34,19420.65,19430.54,303215
2025-01-15 11:25:00,19429.45,19429.45,19393.23,19409.28,751664
2025-01-15 11:30:00,19406.53,19419.19,19406.53,19416.52,420877
2025-01-15 11:35:00,19414.12,19414.12,19400.65,19405.49,510311
2025-01-15 11:40:00,19408.16,19408.16,19389.38,19400.24,373994
2025-01-15 11:45:00,19398.59,19399.74,19385.71,19389.58,501767
2025-01-15 11:50:00,19385.76,19425.82,19385.76,19422.64,1030687
2025-01-15 11:55:00,19420.43,19440.94,19408.37,19422.5,253452
2025-01-15 12:00:00,19420.32,19420.32,19400.1,19403.34,702128
2025-01-15 12:05:00,19403.2,19421.5,19403.2,19418.72,612938
2025-01-15 12:10:00,19419.48,19419.48,19395.08,19396.07,784652
2025-01-15 12:15:00,19393.21,19405.1,19393.21,19400.18,346909
2025-01-15 12:20:00,19400.81,19400.81,19347.52,19364.09,1103115
2025-01-15 12:25:00,19367.05,19367.05,19330.47,19338.03,867301
2025-01-15 12:30:00,19340.17,19345.42,19337.81,19342.12,346920
2025-01-15 12:35:00,19343.34,19360.54,19339.11,19356.59,592699
2025-01-15 12:40:00,19357.45,19366.15,19357.45,19360.02,331152
2025-01-15 12:45:00,19359.35,19359.35,19343.42,19357.97,298504
2025-01-15 12:50:00,19360.96,19362.81,19352.19,19352.66,375559
2025-01-15 12:55:00,19353.57,19353.57,19325.4,19326.87,861284
2025-01-15 13:00:00,19325.17,19341.32,19310.8,19313.76,560877
2025-01-15 13:05:00,19313.44,19323.83,19283.38,19305.43,447710
2025-01-15 13:10:00,19304.0,19330.44,19304.0,19324.59,704516
2025-01-15 13:15:00,19324.29,19332.25,19324.29,19331.02,402503
2025-01-15 13:20:00,19333.58,19333.58,19298.98,19299.43,999492
2025-01-15 13:25:00,19299.06,19336.01,19299.06,19305.72,399396
2025-01-15 13:30:00,19304.05,19306.35,19292.54,19298.68,417204
2025-01-15 13:35:00,19300.87,19300.87,19274.86,19286.5,539458
2025-01-15 13:40:00,19289.18,19307.59,19289.18,19297.67,515600
2025-01-15 13:45:00,19296.02,19323.11,19296.02,19316.33,693464
2025-01-15 13:50:00,19319.45,19335.22,19319.45,19333.54,658842
2025-01-15 13:55:00,19335.57,19335.57,19317.55,19318.07,618218
2025-01-15 14:00:00,19316.9,19316.9,19301.83,19312.41,385425
2025-01-15 14:05:00,19314.98,19330.03,19297.52,19318.53,397262
2025-01-15 14:10:00,19315.93,19340.04,19315.93,19335.95,668734
2025-01-15 14:15:00,19334.93,19336.81,19324.22,19327.4,458724
2025-01-15 14:20:00,19325.09,19335.01,19317.67,19324.19,332380
2025-01-15 14:25:00,19322.13,19322.13,19293.2,19305.19,720879
2025-01-15 14:30:00,19306.99,19306.99,19276.51,19284.09,781842
2025-01-15 14:35:00,19284.06,19307.29,19284.06,19299.03,638805
2025-01-15 14:40:00,19296.69,19335.75,19296.69,19324.05,906804
2025-01-15 14:45:00,19322.81,19331.05,19306.24,19322.79,307133
2025-01-15 14:50:00,19321.39,19345.11,19321.39,19341.22,771629
2025-01-15 14:55:00,19341.75,19359.75,19339.1,19348.04,474134
2025-01-15 15:00:00,19352.84,19352.84,19335.91,19336.44,620420
