timestamp,open,high,low,close,volume,open_interest,contract_month,days_to_expiry,close_adjusted
2025-01-15 09:15:00,19540.47,19571.46,19535.13,19551.98,651646,11139100,2025-01,15,20461.15497474122
2025-01-15 09:20:00,19554.54,19570.24,19544.02,19551.88,407646,11957919,2025-01,15,20461.050324700795
2025-01-15 09:25:00,19550.06,19568.36,19541.85,19560.55,712842,11632038,2025-01,15,20470.12348320601
2025-01-15 09:30:00,19564.88,19598.36,19564.88,19597.43,1209020,10826318,2025-01,15,20508.718418116365
2025-01-15 09:35:00,19591.8,19608.76,19572.88,19591.26,445641,10474039,2025-01,15,20502.261510621876
2025-01-15 09:40:00,19586.77,19594.16,19574.43,19583.51,430738,10500016,2025-01,15,20494.151132488598
2025-01-15 09:45:00,19582.31,19613.26,19582.31,19612.09,1131356,11313674,2025-01,15,20524.06011404331
2025-01-15 09:50:00,19614.35,19650.48,19614.35,19629.15,703202,11149889,2025-01,15,20541.913410940564
2025-01-15 09:55:00,19630.7,19645.22,19620.23,19621.52,522445,12466055,2025-01,15,20533.9286128558
2025-01-15 10:00:00,19627.16,19641.24,19627.16,19633.79,547616,11389958,2025-01,15,20546.769172816486
2025-01-15 10:05:00,19627.45,19639.52,19606.77,19618.63,488741,11130236,2025-01,15,20530.90422668739
2025-01-15 10:10:00,19623.68,19625.04,19612.29,19616.63,477198,11610565,2025-01,15,20528.81122587881
2025-01-15 10:15:00,19613.37,19630.98,19608.9,19619.31,371455,11551172,2025-01,15,20531.61584696231
2025-01-15 10:20:00,19613.87,19615.08,19578.86,19582.22,1080717,11172570,2025-01,15,20492.80114696706
2025-01-15 10:25:00,19579.25,19580.37,19510.24,19546.38,1044520,11518862,2025-01,15,20455.294572477178
2025-01-15 10:30:00,19553.18,19558.07,19534.13,19540.52,520176,11354783,2025-01,15,20449.162080108006
2025-01-15 10:35:00,19542.78,19544.07,19512.97,19520.73,724349,11223235,2025-01,15,20428.451837107044
2025-01-15 10:40:00,19517.62,19540.2,19506.26,19525.45,402155,11216168,2025-01,15,20433.391319015314
2025-01-15 10:45:00,19527.48,19528.8,19509.65,19511.03,662483,11807284,2025-01,15,20418.300783185397
2025-01-15 10:50:00,19510.93,19512.32,19478.62,19485.94,894311,11141005,2025-01,15,20392.044088041665
2025-01-15 10:55:00,19482.36,19516.58,19482.36,19510.58,944618,10648497,2025-01,15,20417.829858003457
2025-01-15 11:00:00,19506.44,19511.82,19490.42,19505.34,357126,11422572,2025-01,15,20412.346195884966
2025-01-15 11:05:00,19507.82,19525.24,19507.82,19511.73,284419,11448100,2025-01,15,20419.033333468404
2025-01-15 11:10:00,19498.13,19499.38,19461.72,19480.81,885735,11094106,2025-01,15,20386.675540967637
2025-01-15 11:15:00,19479.18,19488.28,19470.64,19471.96,499728,12904032,2025-01,15,20377.41401238964
2025-01-15 11:20:00,19467.36,19496.9,19461.39,19471.69,303215,11934126,2025-01,15,20377.131457280477
2025-01-15 11:25:00,19473.16,19474.5,19437.39,19453.88,751664,11371558,2025-01,15,20358.493285080018
2025-01-15 11:30:00,19445.58,19459.44,19445.58,19456.37,420877,11078110,2025-01,15,20361.099071086704
2025-01-15 11:35:00,19455.87,19457.15,19442.83,19448.09,510311,10751980,2025-01,15,20352.434047739145
2025-01-15 11:40:00,19450.2,19451.48,19431.84,19443.13,373994,10818649,2025-01,15,20347.24340573385
2025-01-15 11:45:00,19439.66,19442.07,19427.2,19431.49,501767,11331471,2025-01,15,20335.06214102788
2025-01-15 11:50:00,19426.02,19467.31,19426.02,19463.72,1030687,11976624,2025-01,15,20368.790849058263
2025-01-15 11:55:00,19465.45,19487.34,19453.85,19468.44,253452,11993230,2025-01,15,20373.73033096653
2025-01-15 12:00:00,19463.37,19464.69,19443.59,19447.27,702128,11677210,2025-01,15,20351.575917407634
2025-01-15 12:05:00,19443.0,19462.52,19443.0,19459.33,612938,11896375,2025-01,15,20364.196712283418
