timestamp,strike,option_type,ltp,iv,volume,open_interest,expiry,days_to_expiry,moneyness,strike_offset
2025-01-15 09:15:00,19400,CE,417.23,19.71,20584,273827,2025-01-30,15,ITM,-2
2025-01-15 09:15:00,19400,PE,295.4,18.99,38398,326272,2025-01-30,15,OTM,-2
2025-01-15 09:15:00,19450,CE,262.0,12.84,33337,365886,2025-01-30,15,ITM,-1
2025-01-15 09:15:00,19450,PE,279.85,17.85,37207,477241,2025-01-30,15,OTM,-1
2025-01-15 09:15:00,19500,CE,236.58,14.3,71189,522213,2025-01-30,15,ATM,0
2025-01-15 09:15:00,19500,PE,273.71,17.33,60846,384341,2025-01-30,15,ATM,0
2025-01-15 09:15:00,19550,CE,250.16,15.91,35034,399849,2025-01-30,15,OTM,1
2025-01-15 09:15:00,19550,PE,335.21,18.82,52371,410503,2025-01-30,15,ITM,1
2025-01-15 09:15:00,19600,CE,242.16,15.52,23385,248559,2025-01-30,15,OTM,2
2025-01-15 09:15:00,19600,PE,356.32,17.11,20556,266622,2025-01-30,15,ITM,2
2025-01-15 10:15:00,19500,CE,353.26,17.66,24770,226438,2025-01-30,15,ITM,-2
2025-01-15 10:15:00,19500,PE,312.41,19.91,41117,256782,2025-01-30,15,OTM,-2
2025-01-15 10:15:00,19550,CE,311.15,18.03,31320,396859,2025-01-30,15,ITM,-1
2025-01-15 10:15:00,19550,PE,277.89,17.58,35778,461100,2025-01-30,15,OTM,-1
2025-01-15 10:15:00,19600,CE,261.81,16.55,85525,737351,2025-01-30,15,ATM,0
2025-01-15 10:15:00,19600,PE,247.07,14.11,52235,438679,2025-01-30,15,ATM,0
2025-01-15 10:15:00,19650,CE,309.43,19.72,40712,414915,2025-01-30,15,OTM,1
2025-01-15 10:15:00,19650,PE,291.72,13.88,39397,403281,2025-01-30,15,ITM,1
2025-01-15 10:15:00,19700,CE,294.42,18.9,51677,276839,2025-01-30,15,OTM,2
2025-01-15 10:15:00,19700,PE,438.77,20.22,30107,291152,2025-01-30,15,ITM,2
